"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Dec-2023","EQ","242.90","243.75","238.05","239.75","238.95","238.60","240.71","266.95","204.25","1,43,52,896","3,45,49,27,298.70","2,02,480"
"13-Dec-2023","EQ","242.00","242.40","235.35","240.55","239.75","239.75","238.67","266.95","204.25","1,37,74,944","3,28,76,76,721.45","1,66,608"
"12-Dec-2023","EQ","246.05","247.30","238.30","245.60","241.00","240.55","242.54","266.95","204.25","1,27,49,596","3,09,22,46,249.05","1,40,461"
"11-Dec-2023","EQ","244.85","247.00","243.05","244.25","245.65","245.60","245.43","266.95","204.25","88,75,953","2,17,84,30,489.25","87,776"
"08-Dec-2023","EQ","249.00","250.50","240.00","249.15","244.20","244.25","244.90","266.95","204.25","1,90,56,798","4,66,69,53,825.05","1,90,798"
"07-Dec-2023","EQ","249.00","250.70","245.10","247.05","248.95","249.15","248.80","266.95","204.25","2,30,00,400","5,72,25,36,527.10","1,67,315"
"06-Dec-2023","EQ","244.90","251.60","243.00","242.50","246.80","247.05","247.13","266.95","204.25","4,52,62,704","11,18,55,88,495.95","2,81,179"
"05-Dec-2023","EQ","231.00","246.00","229.40","230.10","242.15","242.50","239.48","266.95","204.25","6,08,47,483","14,57,15,29,908.70","3,40,488"
"04-Dec-2023","EQ","229.75","232.00","227.90","225.50","229.90","230.10","229.99","266.95","204.25","2,10,79,668","4,84,81,92,056.60","1,32,128"
"01-Dec-2023","EQ","231.45","231.60","224.85","229.40","225.00","225.50","228.06","266.95","204.25","1,76,34,910","4,02,17,99,169.25","1,33,289"
"30-Nov-2023","EQ","226.05","231.80","222.65","226.05","230.55","229.40","228.06","266.95","204.25","4,54,32,216","10,36,14,90,895.15","1,70,077"
"29-Nov-2023","EQ","229.35","229.35","224.20","226.35","226.05","226.05","226.35","266.95","204.25","1,40,07,708","3,17,06,22,131.60","1,11,742"
"28-Nov-2023","EQ","228.05","232.30","225.30","226.50","226.70","226.35","228.29","266.95","204.25","2,56,68,670","5,85,99,24,848.45","1,73,994"
"24-Nov-2023","EQ","221.90","227.85","220.50","221.25","226.85","226.50","224.83","266.95","204.25","3,14,20,610","7,06,41,82,654.05","1,43,074"
"23-Nov-2023","EQ","222.50","223.25","219.60","221.90","221.30","221.25","221.21","266.95","204.25","1,12,67,951","2,49,26,37,729.10","76,499"
"22-Nov-2023","EQ","219.70","223.40","218.50","220.20","223.05","221.90","220.69","266.95","204.25","1,50,12,272","3,31,30,49,661.15","79,055"
"21-Nov-2023","EQ","217.40","223.15","216.55","215.50","219.85","220.20","220.32","266.95","204.25","2,56,25,463","5,64,56,75,828.75","1,30,533"
"20-Nov-2023","EQ","221.75","221.75","215.05","220.80","215.50","215.50","216.58","266.95","204.25","2,04,03,368","4,41,90,13,341.65","1,89,558"
"17-Nov-2023","EQ","226.00","226.00","220.40","226.95","221.00","220.80","222.55","266.95","204.25","1,96,07,105","4,36,34,99,458.20","1,30,818"
"16-Nov-2023","EQ","225.50","229.30","223.85","224.15","227.10","226.95","225.77","266.95","204.25","1,78,56,032","4,03,13,01,859.90","1,12,362"
"15-Nov-2023","EQ","226.95","227.35","223.20","224.75","224.15","224.15","224.54","266.95","204.25","1,57,82,001","3,54,36,68,968.75","1,07,942"
"13-Nov-2023","EQ","223.00","225.90","222.25","225.55","224.40","224.75","224.09","266.95","204.25","1,20,86,991","2,70,86,12,348.85","92,586"
"12-Nov-2023","EQ","224.75","226.50","223.50","221.95","225.60","225.55","225.11","266.95","204.25","1,05,42,420","2,37,31,63,046.05","1,06,668"
"10-Nov-2023","EQ","214.85","222.95","214.35","215.15","222.50","221.95","219.34","266.95","204.25","1,84,67,219","4,05,06,73,724.20","1,08,156"
"09-Nov-2023","EQ","214.85","217.70","214.85","214.15","215.50","215.15","215.41","266.95","204.25","1,72,50,096","3,71,58,40,615.05","92,243"
"08-Nov-2023","EQ","217.80","217.90","213.80","217.20","214.50","214.15","215.53","266.95","204.25","1,71,01,608","3,68,59,78,274.40","1,42,259"
"07-Nov-2023","EQ","217.90","218.80","216.50","217.15","217.15","217.20","217.24","266.95","204.25","75,58,170","1,64,19,32,510.25","72,825"
"06-Nov-2023","EQ","220.40","220.70","216.75","219.05","217.10","217.15","218.03","266.95","204.25","1,14,94,092","2,50,60,50,342.60","1,20,203"
"03-Nov-2023","EQ","219.00","220.65","217.65","217.35","219.10","219.05","219.05","266.95","204.25","85,69,115","1,87,70,23,702.65","65,311"
"02-Nov-2023","EQ","218.50","219.60","216.70","217.65","217.00","217.35","217.63","266.95","204.25","1,32,61,567","2,88,61,71,066.00","96,526"
"01-Nov-2023","EQ","216.00","222.05","215.30","219.00","216.00","217.65","217.43","266.95","204.25","1,58,62,624","3,44,89,41,736.00","1,29,701"
