"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Dec-2023","EQ","454.00","475.80","448.35","462.65","469.70","470.10","466.73","475.80","352.00","2,73,14,322","12,74,82,99,048.10","3,26,049"
"22-Dec-2023","EQ","435.30","466.30","434.00","434.00","461.90","462.65","455.69","466.30","352.00","2,30,40,407","10,49,93,49,828.90","3,17,516"
"21-Dec-2023","EQ","428.90","436.50","427.20","431.95","434.90","434.00","433.27","453.50","352.00","53,31,504","2,31,00,02,064.65","1,45,804"
"20-Dec-2023","EQ","442.00","449.50","429.35","438.70","430.50","431.95","441.59","453.50","352.00","1,32,24,971","5,84,00,16,260.20","2,41,669"
"19-Dec-2023","EQ","445.60","447.35","435.00","445.25","438.20","438.70","439.32","453.50","352.00","80,32,347","3,52,87,63,708.00","1,89,808"
"18-Dec-2023","EQ","446.00","453.50","442.00","446.55","444.30","445.25","447.94","453.50","352.00","1,00,91,036","4,52,01,40,211.05","1,91,284"
"15-Dec-2023","EQ","436.05","449.50","433.50","434.40","445.80","446.55","444.43","449.50","352.00","2,07,83,617","9,23,69,17,892.75","2,96,539"
"14-Dec-2023","EQ","423.50","436.00","423.25","419.65","434.00","434.40","431.28","443.75","352.00","1,23,40,688","5,32,23,08,022.95","2,14,863"
"13-Dec-2023","EQ","423.55","424.30","415.00","422.20","419.90","419.65","418.87","443.75","352.00","48,48,408","2,03,08,65,280.15","99,654"
"12-Dec-2023","EQ","420.70","427.90","420.15","420.60","422.00","422.20","424.02","443.75","352.00","59,51,682","2,52,36,31,269.95","1,17,032"
"11-Dec-2023","EQ","420.00","422.20","417.25","422.60","420.00","420.60","420.33","443.75","352.00","50,42,121","2,11,93,33,559.45","1,01,686"
"08-Dec-2023","EQ","418.80","424.50","415.00","418.25","424.00","422.60","420.50","443.75","352.00","77,39,561","3,25,45,03,888.50","1,32,597"
"07-Dec-2023","EQ","420.00","421.50","416.65","418.75","418.30","418.25","418.75","443.75","352.00","56,25,276","2,35,56,00,588.35","1,05,558"
"06-Dec-2023","EQ","406.75","420.40","405.95","404.35","420.30","418.75","414.25","443.75","352.00","1,10,41,035","4,57,37,70,109.10","1,55,387"
"05-Dec-2023","EQ","407.40","409.00","402.10","407.45","404.65","404.35","404.44","443.75","352.00","55,82,684","2,25,78,60,909.45","94,367"
"04-Dec-2023","EQ","412.70","413.00","406.75","407.65","407.30","407.45","408.63","443.75","352.00","53,31,236","2,17,85,24,098.90","92,832"
"01-Dec-2023","EQ","413.75","413.75","406.50","413.05","407.10","407.65","408.45","443.75","352.00","49,15,213","2,00,76,34,999.60","94,634"
"30-Nov-2023","EQ","406.95","414.50","404.05","406.25","411.80","413.05","410.05","443.75","352.00","99,12,979","4,06,48,52,962.85","1,39,985"
"29-Nov-2023","EQ","398.00","408.55","398.00","396.85","406.05","406.25","405.24","443.75","352.00","77,72,043","3,14,95,35,327.95","1,08,955"
"28-Nov-2023","EQ","397.00","398.75","393.10","396.00","397.20","396.85","395.55","443.75","352.00","40,72,657","1,61,09,43,054.25","93,527"
"24-Nov-2023","EQ","402.50","403.50","395.55","402.50","396.00","396.00","398.14","443.75","352.00","31,25,283","1,24,42,99,168.60","69,437"
"23-Nov-2023","EQ","400.50","405.00","400.50","400.25","402.80","402.50","402.65","443.75","352.00","48,38,680","1,94,83,12,363.15","94,371"
"22-Nov-2023","EQ","402.50","402.60","399.10","400.65","400.50","400.25","400.78","443.75","352.00","26,59,291","1,06,57,89,721.10","65,892"
"21-Nov-2023","EQ","402.60","402.60","400.05","400.20","400.55","400.65","401.10","443.75","352.00","27,20,124","1,09,10,38,207.50","72,441"
"20-Nov-2023","EQ","393.20","401.10","393.20","395.40","400.15","400.20","399.28","443.75","352.00","43,05,248","1,71,89,88,192.75","85,321"
"17-Nov-2023","EQ","398.00","399.00","394.50","397.10","394.90","395.40","396.56","443.75","352.00","39,43,464","1,56,38,30,351.00","84,552"
"16-Nov-2023","EQ","391.65","399.50","389.30","391.65","396.75","397.10","395.60","443.75","352.00","69,21,788","2,73,82,42,303.60","1,24,565"
"15-Nov-2023","EQ","385.55","392.25","384.25","381.65","391.45","391.65","389.52","443.75","352.00","53,96,259","2,10,19,67,980.65","1,25,802"
"13-Nov-2023","EQ","382.60","382.90","380.00","382.45","382.05","381.65","381.07","443.75","352.00","17,92,951","68,32,34,046.35","63,717"
"12-Nov-2023","EQ","383.40","383.40","381.45","379.30","383.00","382.45","382.46","443.75","352.00","10,11,662","38,69,19,203.35","39,907"
"10-Nov-2023","EQ","380.30","381.80","377.00","380.85","379.75","379.30","378.54","443.75","352.00","53,55,350","2,02,72,15,362.30","95,452"
"09-Nov-2023","EQ","383.00","384.00","379.70","382.20","381.20","380.85","381.44","443.75","352.00","46,15,563","1,76,05,64,503.10","85,875"
"08-Nov-2023","EQ","384.60","385.85","381.50","383.30","382.60","382.20","383.20","443.75","352.00","35,51,026","1,36,07,52,175.85","81,593"
"07-Nov-2023","EQ","384.90","387.00","382.85","384.65","384.00","383.30","384.53","443.75","352.00","28,46,089","1,09,44,13,257.15","73,620"
"06-Nov-2023","EQ","386.00","386.45","383.00","383.55","385.45","384.65","384.95","443.75","352.00","24,69,968","95,08,11,621.70","64,533"
"03-Nov-2023","EQ","386.00","386.70","382.65","383.65","383.75","383.55","384.03","443.75","352.00","26,45,764","1,01,60,51,515.80","66,538"
"02-Nov-2023","EQ","383.80","385.15","382.10","380.95","384.00","383.65","383.61","443.75","352.00","23,71,365","90,96,80,621.95","76,797"
"01-Nov-2023","EQ","383.85","385.55","380.15","381.80","381.00","380.95","382.86","443.75","352.00","21,20,976","81,20,33,838.95","63,993"
"31-Oct-2023","EQ","383.20","384.10","379.15","382.00","382.90","381.80","381.65","443.75","352.00","30,76,768","1,17,42,57,250.05","81,595"
"30-Oct-2023","EQ","384.00","384.35","380.40","382.35","382.70","382.00","382.15","443.75","352.00","23,44,372","89,59,02,136.95","85,164"
"27-Oct-2023","EQ","379.05","384.35","379.05","378.25","382.90","382.35","382.23","443.75","352.00","31,01,406","1,18,54,53,978.15","1,02,257"
"26-Oct-2023","EQ","378.80","380.55","375.05","381.85","378.90","378.25","377.98","443.75","352.00","54,97,791","2,07,80,44,658.85","1,55,825"
"25-Oct-2023","EQ","384.40","387.70","381.10","383.15","381.95","381.85","383.88","443.75","352.00","33,39,147","1,28,18,42,932.25","1,08,480"
"23-Oct-2023","EQ","390.85","393.00","382.20","391.85","383.00","383.15","387.22","443.75","352.00","44,18,913","1,71,10,82,132.75","1,18,406"
"20-Oct-2023","EQ","395.05","396.05","391.00","395.30","392.00","391.85","393.33","443.75","352.00","42,14,668","1,65,77,48,683.80","1,17,931"
"19-Oct-2023","EQ","391.95","396.75","390.10","407.45","395.05","395.30","394.25","443.75","352.00","1,28,14,551","5,05,21,35,324.35","2,24,639"
"18-Oct-2023","EQ","409.00","413.65","407.00","411.40","407.50","407.45","409.96","443.75","352.00","24,40,533","1,00,05,28,311.70","78,113"
"17-Oct-2023","EQ","411.70","413.85","411.05","410.20","411.10","411.40","412.20","443.75","352.00","29,89,694","1,23,23,52,075.60","70,496"
"16-Oct-2023","EQ","411.00","411.90","408.15","411.05","410.10","410.20","410.00","443.75","352.00","26,38,826","1,08,19,15,244.60","65,869"
