"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Sep-2024","BE","302.00","308.00","294.00","304.55","303.95","301.80","301.85","348.80","286.95","4,57,663","13,81,44,049.75","10,978"
"05-Sep-2024","BE","315.00","315.00","302.05","317.05","307.00","304.55","307.08","348.80","286.95","5,18,553","15,92,34,980.90","11,944"
"04-Sep-2024","BE","286.95","317.15","286.95","302.05","317.15","317.05","302.27","348.80","286.95","9,05,584","27,37,34,186.20","18,211"
"03-Sep-2024","BE","312.20","312.20","302.05","317.95","302.05","302.05","304.53","348.80","287.20","5,75,870","17,53,72,082.00","15,067"
"02-Sep-2024","BE","340.00","348.80","316.75","333.39","317.00","317.95","331.68","348.80","287.20","17,76,233","58,91,46,544.90","41,014"
"30-Aug-2024","BE","315.90","333.39","301.64","317.52","333.39","333.39","315.72","333.39","287.20","20,57,263","64,95,10,671.25","27,135"
"29-Aug-2024","BE","317.52","317.52","317.52","302.40","317.52","317.52","317.52","317.52","287.20","1,90,208","6,03,94,844.16","1,981"
"28-Aug-2024","BE","288.00","302.40","287.20","206.00","302.40","302.40","293.20","302.40","287.20","27,31,815","80,09,62,950.87","22,609"
